DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 poema_aristizabal_5_15_decoded	 3.456	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_16_decoded	 3.392	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_17_decoded	 3.427	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_18_decoded	 3.455	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_19_decoded	 3.415	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_20_decoded	 3.468	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_21_decoded	 3.422	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_22_decoded	 2.858	 0.000	 0	 8000	-6.3600
 poema_aristizabal_5_23_decoded	 3.447	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_24_decoded	 3.280	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_25_decoded	 3.440	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_26_decoded	 3.285	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_27_decoded	 3.317	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_28_decoded	 3.251	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_29_decoded	 3.376	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_30_decoded	 3.423	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_31_decoded	 3.450	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_32_decoded	 3.334	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_33_decoded	 3.422	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_34_decoded	 3.426	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_35_decoded	 3.387	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_36_decoded	 3.335	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_37_decoded	 3.396	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_38_decoded	 2.520	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_39_decoded	 3.443	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_40_decoded	 3.390	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_41_decoded	 3.393	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_42_decoded	 3.412	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_43_decoded	 3.485	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_44_decoded	 3.372	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_45_decoded	 3.398	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_46_decoded	 3.358	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_47_decoded	 3.376	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_48_decoded	 3.377	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_49_decoded	 3.365	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_50_decoded	 3.242	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_1_decoded	 0.233	 0.000	 0	 8000	-5.4760
 poema_aristizabal_10_2_decoded	 3.226	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_3_decoded	 3.173	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_4_decoded	 3.217	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_5_decoded	 3.063	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_6_decoded	 3.072	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_7_decoded	 3.010	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_8_decoded	 3.847	 0.000	 0	 8000	-6.6640
 poema_aristizabal_10_9_decoded	 3.068	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_10_decoded	 3.135	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_11_decoded	 0.184	 0.000	 0	 8000	-1.6280
 poema_aristizabal_10_12_decoded	 1.738	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_13_decoded	 3.101	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_14_decoded	 3.112	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_15_decoded	 2.362	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_16_decoded	 2.837	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_17_decoded	 3.143	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_18_decoded	 3.199	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_19_decoded	 3.164	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_20_decoded	 3.176	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_21_decoded	 0.250	 0.000	 0	 8000	-5.4760
 poema_aristizabal_10_22_decoded	 3.149	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_23_decoded	 3.017	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_24_decoded	 3.157	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_25_decoded	 3.137	 0.000	 0	 8000	0.0040
