REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 poema_aristizabal	 poema_aristizabal_10_10_decoded	 SQValue=3.135	 3.135	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_11_decoded	 SQValue=0.184	 0.184	 0.000	 0	 8000	-1.6280
 poema_aristizabal	 poema_aristizabal_10_12_decoded	 SQValue=1.738	 1.738	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_13_decoded	 SQValue=3.101	 3.101	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_14_decoded	 SQValue=3.112	 3.112	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_15_decoded	 SQValue=2.362	 2.362	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_16_decoded	 SQValue=2.837	 2.837	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_17_decoded	 SQValue=3.143	 3.143	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_18_decoded	 SQValue=3.199	 3.199	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_19_decoded	 SQValue=3.164	 3.164	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_20_decoded	 SQValue=3.176	 3.176	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_21_decoded	 SQValue=0.250	 0.250	 0.000	 0	 8000	-5.4760
 poema_aristizabal	 poema_aristizabal_10_22_decoded	 SQValue=3.149	 3.149	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_23_decoded	 SQValue=3.017	 3.017	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_24_decoded	 SQValue=3.157	 3.157	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_25_decoded	 SQValue=3.137	 3.137	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_26_decoded	 SQValue=3.251	 3.251	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_27_decoded	 SQValue=3.152	 3.152	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_28_decoded	 SQValue=2.880	 2.880	 0.000	 0	 8000	-6.3600
 poema_aristizabal	 poema_aristizabal_10_29_decoded	 SQValue=0.222	 0.222	 0.000	 0	 8000	-5.5600
 poema_aristizabal	 poema_aristizabal_10_30_decoded	 SQValue=3.152	 3.152	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_31_decoded	 SQValue=1.451	 1.451	 0.000	 0	 8000	-4.7520
 poema_aristizabal	 poema_aristizabal_10_32_decoded	 SQValue=3.258	 3.258	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_33_decoded	 SQValue=3.159	 3.159	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_34_decoded	 SQValue=3.146	 3.146	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_35_decoded	 SQValue=3.107	 3.107	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_36_decoded	 SQValue=3.311	 3.311	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_37_decoded	 SQValue=3.237	 3.237	 0.000	 0	 8000	-6.3680
 poema_aristizabal	 poema_aristizabal_10_38_decoded	 SQValue=3.272	 3.272	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_39_decoded	 SQValue=3.124	 3.124	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_40_decoded	 SQValue=3.220	 3.220	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_41_decoded	 SQValue=2.644	 2.644	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_42_decoded	 SQValue=3.011	 3.011	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_43_decoded	 SQValue=1.763	 1.763	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_44_decoded	 SQValue=3.109	 3.109	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_45_decoded	 SQValue=3.147	 3.147	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_46_decoded	 SQValue=3.148	 3.148	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_47_decoded	 SQValue=3.160	 3.160	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_48_decoded	 SQValue=1.663	 1.663	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_49_decoded	 SQValue=1.999	 1.999	 0.000	 0	 8000	-3.4880
 poema_aristizabal	 poema_aristizabal_10_50_decoded	 SQValue=0.184	 0.184	 0.000	 0	 8000	-1.6280
 poema_aristizabal	 poema_aristizabal_20_1_decoded	 SQValue=0.177	 0.177	 0.000	 0	 8000	-1.6040
 poema_aristizabal	 poema_aristizabal_20_2_decoded	 SQValue=0.685	 0.685	 0.000	 0	 8000	-1.6040
 poema_aristizabal	 poema_aristizabal_20_3_decoded	 SQValue=1.789	 1.789	 0.000	 0	 8000	-5.5600
 poema_aristizabal	 poema_aristizabal_20_4_decoded	 SQValue=1.580	 1.580	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_20_5_decoded	 SQValue=2.086	 2.086	 0.000	 0	 8000	-6.6440
 poema_aristizabal	 poema_aristizabal_20_6_decoded	 SQValue=2.889	 2.889	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_20_7_decoded	 SQValue=2.793	 2.793	 0.000	 0	 8000	-6.6280
 poema_aristizabal	 poema_aristizabal_20_8_decoded	 SQValue=2.727	 2.727	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_20_9_decoded	 SQValue=2.900	 2.900	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_20_10_decoded	 SQValue=2.132	 2.132	 0.000	 0	 8000	-4.7480
 poema_aristizabal	 poema_aristizabal_20_11_decoded	 SQValue=2.069	 2.069	 0.000	 0	 8000	-5.5680
 poema_aristizabal	 poema_aristizabal_20_12_decoded	 SQValue=2.446	 2.446	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_20_13_decoded	 SQValue=1.758	 1.758	 0.000	 0	 8000	-5.5560
 poema_aristizabal	 poema_aristizabal_20_14_decoded	 SQValue=2.898	 2.898	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_20_15_decoded	 SQValue=3.188	 3.188	 0.000	 0	 8000	-4.2240
 poema_aristizabal	 poema_aristizabal_20_16_decoded	 SQValue=0.186	 0.186	 0.000	 0	 8000	-1.6280
 poema_aristizabal	 poema_aristizabal_20_17_decoded	 SQValue=1.672	 1.672	 0.000	 0	 8000	-5.7600
 poema_aristizabal	 poema_aristizabal_20_18_decoded	 SQValue=2.134	 2.134	 0.000	 0	 8000	-5.5560
 poema_aristizabal	 poema_aristizabal_20_19_decoded	 SQValue=1.506	 1.506	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_20_20_decoded	 SQValue=2.774	 2.774	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_20_21_decoded	 SQValue=0.023	 0.023	 0.000	 0	 8000	-6.6680
 poema_aristizabal	 poema_aristizabal_20_22_decoded	 SQValue=2.594	 2.594	 0.000	 0	 8000	-4.2520
 poema_aristizabal	 poema_aristizabal_20_23_decoded	 SQValue=1.492	 1.492	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_20_24_decoded	 SQValue=1.904	 1.904	 0.000	 0	 8000	-6.3680
 poema_aristizabal	 poema_aristizabal_20_25_decoded	 SQValue=0.155	 0.155	 0.000	 0	 8000	-5.7680
 poema_aristizabal	 poema_aristizabal_20_26_decoded	 SQValue=2.022	 2.022	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_20_27_decoded	 SQValue=1.842	 1.842	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_20_28_decoded	 SQValue=2.614	 2.614	 0.000	 0	 8000	-3.5160
 poema_aristizabal	 poema_aristizabal_20_29_decoded	 SQValue=2.207	 2.207	 0.000	 0	 8000	-6.3560
 poema_aristizabal	 poema_aristizabal_20_30_decoded	 SQValue=2.770	 2.770	 0.000	 0	 8000	-6.3560
 poema_aristizabal	 poema_aristizabal_20_31_decoded	 SQValue=2.991	 2.991	 0.000	 0	 8000	-6.3520
 poema_aristizabal	 poema_aristizabal_20_32_decoded	 SQValue=2.961	 2.961	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_20_33_decoded	 SQValue=0.106	 0.106	 0.000	 0	 8000	-5.5880
 poema_aristizabal	 poema_aristizabal_20_34_decoded	 SQValue=2.809	 2.809	 0.000	 0	 8000	-6.3520
 poema_aristizabal	 poema_aristizabal_20_35_decoded	 SQValue=1.840	 1.840	 0.000	 0	 8000	-5.7760
 poema_aristizabal	 poema_aristizabal_20_36_decoded	 SQValue=1.759	 1.759	 0.000	 0	 8000	-4.7440
 poema_aristizabal	 poema_aristizabal_20_37_decoded	 SQValue=2.461	 2.461	 0.000	 0	 8000	-6.3520
 poema_aristizabal	 poema_aristizabal_20_38_decoded	 SQValue=2.387	 2.387	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_20_39_decoded	 SQValue=2.312	 2.312	 0.000	 0	 8000	0.0040
